error_message,error_type
"main.cpp:15:8: error: 'x' was not declared in this scope",lexical
"error C2065: 'count' : undeclared identifier",lexical
"/home/user/project.cpp:42:12: error: 'temp' undeclared (first use this function)",lexical
"Line 25: Identifier 'func' not found in current scope",lexical
"[Error] main.cpp (18): 'index' was not declared in this scope",lexical
"fatal error: 'result' has not been declared",lexical
"compilation error: undeclared variable 'data' used at line 33",lexical
"Error (line 67): variable 'value' not found",lexical
"main.cpp:89:5: error: 'calculate' was not declared in this scope",lexical
"error C2065: 'sum' : undeclared identifier at line 12",lexical
"src/main.cpp:156: error: 'ptr' undeclared",lexical
"Line 203: unknown variable 'length'",lexical
"main.cpp:45:10: error: 'buffer' undeclared (first use this function)",lexical
"Error: variable 'counter' not in scope at line 78",lexical
"fatal error: identifier 'array' not declared",lexical
"compilation terminated: 'size' undeclared at main.cpp:91",lexical
"[Error] Line 134: unknown identifier 'item'",lexical
"error: 'flag' was not declared in this scope",lexical
"main.cpp:167:3: error: 'node' undeclared",lexical
"Line 88: variable 'key' undefined",lexical
"main.cpp:25:10: error: expected ';' before 'return'",syntactic
"error C2143: syntax error : missing '}' before end of file",syntactic
"Line 34: expected ')' before ';' token",syntactic
"[Error] main.cpp (67): expected '{' before 'else'",syntactic
"fatal error: missing semicolon at end of statement (line 45)",syntactic
"src/main.cpp:123: error: expected '(' after 'if'",syntactic
"compilation error: missing closing parenthesis ')' at line 89",syntactic
"Error: expected ';' after expression on line 156",syntactic
"main.cpp:78:5: error: expected '{' before 'for'",syntactic
"Line 203: expected ')' after 'for' statement",syntactic
"error C2059: syntax error : missing ',' between function arguments",syntactic
"[Error] main.cpp (234): expected ';' before 'int'",syntactic
"fatal error: missing closing quote '\"' at line 67",syntactic
"compilation terminated: expected '}' before 'else' at line 134",syntactic
"main.cpp:89:12: error: expected '(' after 'while'",syntactic
"Error (line 167): expected ':' after 'case'",syntactic
"Line 234: missing semicolon after variable declaration",syntactic
"src/main.cpp:301: error: expected ')' before '{'",syntactic
"main.cpp:45:8: error: expected ';' after 'break'",syntactic
"[Error] Line 178: missing opening bracket '['",syntactic
"main.cpp:15:5: error: cannot assign to 'x' (incompatible types 'int' and 'string')",semantic
"error C2440: cannot convert from 'int' to 'string'",semantic
"Line 45: function 'calculate' expects 2 arguments but 3 given",semantic
"compilation error: division by zero detected at line 78",semantic
"runtime error: array index 15 out of bounds (size 10)",semantic
"main.cpp:89:12: error: null pointer dereference",semantic
"Error: incompatible types in assignment at line 134",semantic
"[Warning] main.cpp (167): function returns void but value expected",semantic
"fatal error: cannot call method on null reference",semantic
"main.cpp:203:8: error: 'int' object has no member named 'length'",semantic
"Line 234: cannot convert 'float' to 'bool' in condition",semantic
"error C2440: 'main' function must return int",semantic
"runtime error: array subscript -1 out of range",semantic
"main.cpp:67:5: error: assignment of read-only variable 'CONST_VAL'",semantic
"compilation error: pure virtual function call detected",semantic
"runtime error: stack overflow detected in recursive function",semantic
"segmentation fault: memory access violation at address 0x0",semantic
"main.cpp:45:12: error: invalid conversion from 'char*' to 'int'",semantic
"Error: cannot delete non-pointer variable at line 89",semantic
"runtime error: double free or corruption detected",semantic
"iostream: No such file or directory",lexical
"fatal error: 'vector' file not found",lexical
"error C1083: Cannot open include file: 'algorithm': No such file or directory",lexical
"Line 1: #include expects \"filename\" or <filename>",lexical
"compilation terminated: missing header file 'string'",lexical
"[Error] Cannot find include file 'iostream.h'",lexical
"fatal error: 'bits/stdc++.h' not found (non-standard header)",lexical
"preprocessor error: #include directive not recognized",lexical
"main.cpp:1:10: fatal error: 'cstdio' file not found",lexical
"Error: header file 'memory' not found in include path",lexical
"main.cpp:10:5: error: 'std::cout' is not declared (did you forget 'using namespace std;'?)",lexical
"error C2065: 'cout' : undeclared identifier (include <iostream>)",lexical
"Line 15: 'string' undeclared (did you mean 'std::string'?)",lexical
"[Error] 'vector' not found (include <vector>)",lexical
"compilation error: 'nullptr' not supported in C++98 mode",lexical
"main.cpp:25:8: error: 'auto' does not name a type (C++11 required)",lexical
"fatal error: lambda expressions not supported in C++98",lexical
"Error: 'constexpr' keyword requires C++11 or later",lexical
"Line 45: range-based for loops require C++11",lexical
"main.cpp:67:12: error: 'decltype' was not declared in this scope",lexical
"main.cpp:15:5: error: expected unqualified-id before numeric constant",syntactic
"error C2059: syntax error : 'numeric constant'",syntactic
"Line 25: expected declaration before '}' token",syntactic
"compilation error: expected primary-expression before ')' token at line 45",syntactic
"[Error] main.cpp (67): expected declaration specifiers",syntactic
"fatal error: expected identifier or '(' before '&' token",syntactic
"main.cpp:89:8: error: expected ')' before '*' token",syntactic
"Error (line 123): expected ';' after member declaration",syntactic
"Line 156: expected class-name before '{' token",syntactic
"src/main.cpp:189: error: expected constructor destructor or type conversion",syntactic
"main.cpp:15:5: error: no matching function for call to 'std::vector<int>::push_back(std::string)'",semantic
"error C2664: cannot convert argument 1 from 'const char *' to 'int'",semantic
"Line 25: template argument deduction/substitution failed",semantic
"compilation error: no viable conversion from 'double' to 'int'",semantic
"[Error] Cannot resolve overloaded function 'calculate'",semantic
"main.cpp:45:10: error: ambiguous overload for 'operator+' (operand types are 'A' and 'B')",semantic
"fatal error: 'class MyClass' has no member named 'undefinedMethod'",semantic
"Line 67: redefinition of 'int variable' (previously declared at line 23)",semantic
"main.cpp:89:5: error: multiple definition of 'function'",semantic
"Error: circular dependency between classes A and B",semantic
"warning: unused variable 'temp' [-Wunused-variable]",semantic
"main.cpp:15:8: warning: comparison between signed and unsigned integer expressions",semantic
"Line 25: warning: deprecated conversion from string constant to 'char*'",semantic
"[Warning] Possible memory leak: pointer 'ptr' not freed",semantic
"compilation warning: unreachable code after return statement",semantic
"main.cpp:45:5: warning: control reaches end of non-void function",semantic
"Warning (line 67): variable 'count' may be used uninitialized",semantic
"runtime warning: potential buffer overflow detected",semantic
"main.cpp:89:12: warning: dereferencing type-punned pointer",semantic
"Line 123: warning: format '%d' expects argument type 'int' but got 'char*'",semantic
"undefined variable 'x'",lexical
"undeclared identifier 'count'",lexical
"variable 'temp' not declared in this scope",lexical
"identifier 'func' has not been declared",lexical
"undeclared variable 'index' used",lexical
"unknown identifier 'result'",lexical
"variable 'data' was not declared in this scope",lexical
"identifier 'value' not found",lexical
"undeclared function 'calculate'",lexical
"variable 'sum' not defined",lexical
"expected ';' before 'return'",syntactic
"missing closing bracket '}'",syntactic
"expected ')' before ';'",syntactic
"expected '{' before 'else'",syntactic
"missing semicolon at end of statement",syntactic
"expected '(' after 'if'",syntactic
"missing closing parenthesis ')'",syntactic
"expected ';' after expression",syntactic
"missing opening bracket '{'",syntactic
"expected ')' after 'for'",syntactic
"type mismatch: cannot assign string to integer",semantic
"function expects 2 arguments but 3 given",semantic
"cannot convert 'int' to 'string'",semantic
"division by zero error",semantic
"array index out of bounds",semantic
"null pointer dereference",semantic
"incompatible types in assignment",semantic
"function returns void but value expected",semantic
"cannot call method on null reference",semantic
"type 'int' has no member 'length'",semantic