error_message,error_type
SyntaxError: 'return' outside function  [line:287 col:32 id:6678],syntactic
FileNotFoundError: [Errno 2] No such file or directory: ''input.json''  [line:453 col:67 id:3197],semantic
SyntaxError: unmatched ')' at line 4  [line:145 col:31 id:5209],syntactic
SyntaxError: unterminated string literal at line 136  [line:402 col:5 id:9443],lexical
SyntaxError: unterminated triple-quoted string literal  [line:305 col:62 id:6323],syntactic
FileNotFoundError: [Errno 2] No such file or directory: ''missing.txt''  [line:384 col:35 id:1496],semantic
TypeError: 'list' object is not callable  [line:322 col:39 id:4280],lexical
SyntaxError: invalid use of keyword '%'  [line:372 col:73 id:7902],syntactic
UnicodeEncodeError: 'ascii' codec can't encode character  [line:472 col:77 id:3225],lexical
"TypeError: sequence item 1: expected str instance, found int  [line:271 col:39 id:3339]",semantic
SyntaxError: invalid non-printable character U+201  [line:179 col:19 id:5304],syntactic
RuntimeError: generator raised StopIteration  [line:418 col:11 id:2392],semantic
SyntaxError: invalid statement at global scope  [line:367 col:71 id:1072],syntactic
UnicodeError: unicodeescape codec can't decode bytes  [line:256 col:38 id:3473],lexical
SyntaxError: unexpected indent at line 94  [line:347 col:61 id:8551],syntactic
SyntaxError: unexpected indent at line 197  [line:496 col:45 id:5131],syntactic
ValueError: invalid literal for int() with base 10: '3075b'  [line:125 col:63 id:9124],semantic
IndentationError: expected an indented block  [line:378 col:32 id:1231],syntactic
TypeError: unhashable type: 'NoneType'  [line:279 col:43 id:6355],semantic
"SyntaxError: invalid decimal literal near ','  [line:363 col:27 id:2900]",lexical
TypeError: 'DataFrame' object is not callable  [line:179 col:17 id:1675],lexical
TypeError: can't compare 'float' and 'str'  [line:366 col:79 id:5449],semantic
SyntaxError: invalid statement at global scope  [line:251 col:33 id:9278],syntactic
SyntaxError: invalid type annotation  [line:138 col:40 id:6833],syntactic
IndentationError: expected an indented block  [line:237 col:53 id:5436],syntactic
SyntaxError: cannot assign to literal  [line:194 col:58 id:2812],syntactic
SyntaxError: invalid use of keyword '*'  [line:432 col:56 id:4800],syntactic
TypeError: can't multiply sequence by non-int of type 'dict'  [line:10 col:58 id:6572],semantic
ZeroDivisionError: division by zero  [line:472 col:45 id:8548],semantic
ImportError: cannot import name 'load' from 'scipy'  [line:109 col:70 id:4662],lexical
SyntaxError: invalid non-printable character U+201  [line:23 col:48 id:7968],syntactic
SyntaxError: 'break' outside loop  [line:141 col:77 id:6094],syntactic
"AssertionError: expected 3, got 3  [line:35 col:67 id:4822]",semantic
ImportError: cannot import name 'test' from 'random'  [line:185 col:79 id:9110],lexical
ImportError: cannot import name 'load' from 'cv2'  [line:433 col:68 id:1580],lexical
IndentationError: expected an indented block  [line:1 col:23 id:1792],syntactic
ModuleNotFoundError: No module named 'cv2'  [line:27 col:11 id:5465],lexical
TypeError: unsupported operand type(s) for +: 'int' and 'str'  [line:111 col:9 id:2526],semantic
IndentationError: expected an indented block  [line:478 col:13 id:7753],syntactic
SyntaxError: unexpected indent at line 30  [line:383 col:17 id:1378],syntactic
"TypeError: sequence item 3: expected str instance, found int  [line:93 col:48 id:2796]",semantic
NameError: free variable 'temp' referenced before assignment  [line:258 col:14 id:4516],semantic
RuntimeError: dictionary changed size during iteration  [line:341 col:1 id:1335],semantic
SyntaxError: invalid encoding or BOM in source file  [line:172 col:14 id:2913],lexical
SyntaxError: EOL while scanning string literal  [line:266 col:68 id:5397],lexical
TypeError: can't multiply sequence by non-int of type 'float'  [line:37 col:29 id:2452],semantic
RuntimeError: failed to acquire lock for thread  [line:357 col:57 id:9212],semantic
SyntaxError: unexpected token ':'  [line:196 col:51 id:5050],syntactic
OverflowError: numerical result out of range  [line:196 col:37 id:6271],semantic
SyntaxError: invalid syntax near '=='  [line:186 col:4 id:7043],lexical
IndexError: tuple index out of range  [line:28 col:65 id:6031],semantic
ZeroDivisionError: division by zero  [line:361 col:3 id:5338],semantic
SyntaxError: unexpected indent at line 191  [line:249 col:36 id:6231],syntactic
SyntaxError: invalid syntax near '->'  [line:190 col:20 id:6739],lexical
SyntaxError: unexpected EOF while parsing  [line:44 col:30 id:9159],syntactic
MemoryError: cannot allocate memory  [line:41 col:68 id:7528],semantic
NameError: name 'flag' is not defined  [line:74 col:34 id:7364],lexical
SyntaxError: invalid use of keyword ';'  [line:10 col:53 id:2754],syntactic
ImportError: cannot import 'execute' from 'matplotlib'  [line:350 col:32 id:3929],lexical
SyntaxError: unterminated string literal at line 139  [line:428 col:19 id:8800],lexical
UnicodeEncodeError: 'ascii' codec can't encode character  [line:486 col:18 id:2002],lexical
RuntimeError: generator raised StopIteration  [line:71 col:20 id:6679],semantic
SyntaxError: cannot mix tabs and spaces  [line:449 col:35 id:5644],syntactic
ModuleNotFoundError: No module named 'sys'  [line:415 col:76 id:5055],lexical
SyntaxError: invalid syntax near ';'  [line:139 col:55 id:5781],syntactic
NameError: name 'value' is not defined  [line:433 col:73 id:5233],lexical
UnicodeError: unicodeescape codec can't decode bytes  [line:327 col:46 id:1665],lexical
KeyError: 'config'  [line:284 col:60 id:3906],semantic
OSError: [Errno 22] Invalid argument: ''data_backup.pkl''  [line:337 col:42 id:3173],semantic
SyntaxError: unexpected token 'or'  [line:169 col:38 id:8695],syntactic
SyntaxError: stray character 'y' in expression  [line:158 col:53 id:2853],lexical
RecursionError: infinite recursion detected in function 'fit'  [line:362 col:51 id:5400],semantic
SyntaxError: invalid encoding or BOM in source file  [line:326 col:44 id:3337],lexical
IndentationError: unexpected indent  [line:15 col:71 id:4923],lexical
SyntaxError: invalid character in f-string  [line:53 col:61 id:6776],syntactic
ValueError: math domain error  [line:491 col:78 id:8159],semantic
SyntaxError: stray character 'z' in expression  [line:347 col:12 id:6042],lexical
UnicodeEncodeError: 'ascii' codec can't encode character  [line:94 col:58 id:6611],lexical
UnicodeError: unicodeescape codec can't decode bytes  [line:277 col:42 id:7087],lexical
SyntaxError: unexpected token '::'  [line:468 col:42 id:5567],syntactic
AttributeError: 'DataFrame' object has no attribute 'transform'  [line:152 col:32 id:6883],semantic
NameError: name 'x' is not defined  [line:250 col:62 id:1929],lexical
ValueError: math domain error  [line:367 col:14 id:7280],semantic
SyntaxError: unexpected indent at line 147  [line:140 col:35 id:1175],syntactic
SyntaxError: invalid use of keyword ':'  [line:466 col:39 id:7064],syntactic
RuntimeError: dictionary changed size during iteration  [line:224 col:25 id:6756],semantic
UnicodeError: unicodeescape codec can't decode bytes  [line:442 col:11 id:8435],lexical
SyntaxError: unmatched ')' at line 83  [line:95 col:32 id:4972],syntactic
ImportError: cannot import name 'save' from 'sklearn'  [line:437 col:55 id:8196],lexical
FileNotFoundError: [Errno 2] No such file or directory: ''data_backup.pkl''  [line:447 col:30 id:5578],semantic
SyntaxError: unknown token before 'and'  [line:113 col:24 id:7432],lexical
SyntaxError: invalid target for augmented assignment  [line:378 col:5 id:8180],syntactic
ValueError: math domain error  [line:366 col:9 id:3113],semantic
TypeError: 'dict' object is not callable  [line:494 col:50 id:5612],lexical
SyntaxError: unexpected EOF while parsing  [line:242 col:18 id:3176],syntactic
SyntaxError: unterminated string literal at line 89  [line:459 col:76 id:1870],lexical
SyntaxError: unexpected indent at line 70  [line:255 col:22 id:8332],syntactic
KeyError: missing key 'user' during lookup  [line:238 col:1 id:6328],semantic
IndexError: tuple index out of range  [line:375 col:53 id:5386],semantic
NameError: name 'y' is not defined  [line:373 col:52 id:9920],lexical
SyntaxError: invalid escape sequence '\z'  [line:161 col:26 id:1051],lexical
SyntaxError: invalid character in identifier  [line:123 col:24 id:4206],lexical
IndentationError: unexpected indent  [line:369 col:13 id:9494],lexical
SyntaxError: invalid syntax near '%'  [line:491 col:35 id:3659],lexical
IndentationError: expected an indented block  [line:208 col:17 id:5957],syntactic
TypeError: object of type 'NoneType' has no len()  [line:61 col:14 id:2763],semantic
FileNotFoundError: [Errno 2] No such file or directory: ''output.log''  [line:138 col:32 id:3276],semantic
"AssertionError: expected 4, got 5  [line:487 col:40 id:2753]",semantic
SyntaxError: invalid syntax near '+'  [line:118 col:35 id:3848],syntactic
TypeError: can't compare 'int' and 'dict'  [line:438 col:66 id:9923],semantic
SyntaxError: missing parentheses in call to 'print'  [line:228 col:68 id:8640],syntactic
SyntaxError: missing parentheses in call to 'print'  [line:242 col:45 id:4127],syntactic
NameError: free variable 'value' referenced before assignment  [line:199 col:47 id:8297],semantic
RecursionError: maximum recursion depth exceeded  [line:204 col:19 id:8792],semantic
SyntaxError: invalid character in identifier  [line:284 col:20 id:2648],lexical
KeyError: 'session'  [line:360 col:68 id:9738],semantic
SyntaxError: expected ':' after 'if' statement  [line:483 col:25 id:3616],syntactic
TypeError: unsupported operand type(s) for +: 'int' and 'str'  [line:114 col:43 id:1322],semantic
UnicodeError: unicodeescape codec can't decode bytes  [line:291 col:64 id:5744],lexical
ValueError: math domain error  [line:47 col:45 id:1507],semantic
ZeroDivisionError: division by zero  [line:57 col:58 id:1942],semantic
IndexError: tuple index out of range  [line:356 col:24 id:9786],semantic
SyntaxError: expected ':' after 'if' statement  [line:22 col:44 id:7116],syntactic
TypeError: missing 1 required positional argument: 'path'  [line:472 col:46 id:2868],semantic
KeyError: 'config' not found in mapping  [line:160 col:5 id:7849],lexical
KeyError: 'user' not found in mapping  [line:431 col:23 id:1869],lexical
ValueError: could not convert string to float: '2476c'  [line:488 col:3 id:5563],semantic
ModuleNotFoundError: No module named 'sys'  [line:24 col:70 id:5466],lexical
SyntaxError: unexpected EOF while parsing  [line:74 col:30 id:7884],syntactic
AttributeError: module 'sys' has no attribute 'data'  [line:469 col:16 id:2499],lexical
AttributeError: 'list' object has no attribute 'data'  [line:172 col:41 id:1464],semantic
SyntaxError: invalid target for augmented assignment  [line:56 col:17 id:7558],syntactic
SyntaxError: invalid syntax near 'and'  [line:195 col:60 id:1680],lexical
TypeError: 'NoneType' object is not callable  [line:380 col:62 id:8115],lexical
NameError: free variable 'result' referenced before assignment  [line:387 col:15 id:2385],semantic
SyntaxError: invalid non-printable character U+400  [line:87 col:66 id:3664],syntactic
ValueError: math domain error  [line:393 col:5 id:8432],semantic
ModuleNotFoundError: No module named 'matplotlib'  [line:335 col:15 id:7090],lexical
ImportError: cannot find module 'numpy' in sys.path  [line:97 col:23 id:1675],semantic
SyntaxError: invalid use of keyword '+'  [line:57 col:68 id:1207],syntactic
AttributeError: 'dict' object has no attribute 'calculate'  [line:285 col:29 id:1605],semantic
"TypeError: sequence item 3: expected str instance, found int  [line:298 col:66 id:5711]",semantic
SyntaxError: expected ':' after 'if' statement  [line:128 col:29 id:6318],syntactic
SyntaxError: 'break' outside loop  [line:159 col:41 id:8606],syntactic
SyntaxError: invalid character in f-string  [line:200 col:23 id:8045],syntactic
SyntaxError: cannot mix tabs and spaces  [line:115 col:74 id:6859],syntactic
SyntaxError: invalid syntax near '/'  [line:306 col:2 id:3986],syntactic
RecursionError: infinite recursion detected in function 'test'  [line:17 col:71 id:2778],semantic
TabError: inconsistent use of tabs and spaces in indentation  [line:387 col:33 id:6364],lexical
SyntaxError: duplicate argument 'y' in function definition  [line:469 col:40 id:2039],syntactic
TypeError: unsupported operand type(s) for +: 'int' and 'str'  [line:253 col:29 id:8233],semantic
"SyntaxError: invalid syntax near ','  [line:64 col:39 id:1069]",syntactic
IndexError: tuple index out of range  [line:6 col:16 id:9913],semantic
RuntimeError: dictionary changed size during iteration  [line:350 col:10 id:1045],semantic
TypeError: can't multiply sequence by non-int of type 'list'  [line:383 col:64 id:1135],semantic
ImportError: cannot import name 'read' from 'torch'  [line:224 col:74 id:2929],lexical
UnicodeEncodeError: 'ascii' codec can't encode character  [line:365 col:32 id:2315],lexical
TypeError: missing 1 required positional argument: 'input'  [line:111 col:5 id:6646],semantic
SyntaxError: unmatched ')' at line 67  [line:101 col:58 id:3132],syntactic
SyntaxError: unterminated string literal at line 44  [line:356 col:43 id:8557],lexical
TypeError: unhashable type: 'DataFrame'  [line:390 col:57 id:9019],semantic
SyntaxError: missing parentheses in call to 'print'  [line:214 col:21 id:3678],syntactic
UnicodeEncodeError: 'ascii' codec can't encode character  [line:218 col:62 id:4922],lexical
TypeError: 'dict' object is not callable  [line:375 col:23 id:9726],lexical
SyntaxError: 'break' outside loop  [line:286 col:46 id:4067],syntactic
SyntaxError: invalid encoding or BOM in source file  [line:7 col:60 id:6992],lexical
SyntaxError: invalid target for augmented assignment  [line:24 col:18 id:3791],syntactic
SyntaxError: invalid syntax near 'and'  [line:270 col:12 id:5148],syntactic
SyntaxError: unterminated triple-quoted string literal  [line:401 col:77 id:7885],syntactic
ValueError: could not convert string to float: '7636a'  [line:399 col:3 id:4725],semantic
"ValueError: not enough values to unpack (expected 4, got 4)  [line:242 col:64 id:2956]",semantic
SyntaxError: invalid statement at global scope  [line:451 col:7 id:2168],syntactic
KeyError: 'session'  [line:123 col:7 id:3683],semantic
SyntaxError: invalid statement at global scope  [line:44 col:73 id:3363],syntactic
TabError: inconsistent use of tabs and spaces in indentation  [line:174 col:9 id:7971],lexical
MemoryError: cannot allocate memory  [line:142 col:69 id:4889],semantic
SyntaxError: invalid character in f-string  [line:179 col:55 id:4871],syntactic
IndentationError: unexpected unindent at line 19  [line:148 col:76 id:8059],lexical
RuntimeError: failed to acquire lock for thread  [line:392 col:11 id:6954],semantic
RecursionError: maximum recursion depth exceeded  [line:390 col:7 id:2758],semantic
SyntaxError: invalid target for augmented assignment  [line:285 col:73 id:3984],syntactic
IndexError: tuple index out of range  [line:296 col:58 id:2055],semantic
SyntaxError: missing parentheses in call to 'print'  [line:243 col:3 id:6529],syntactic
NameError: free variable 'y' referenced before assignment  [line:245 col:77 id:6586],semantic
SyntaxError: unmatched ')' at line 43  [line:456 col:9 id:8187],syntactic
TypeError: can't compare 'dict' and 'tuple'  [line:231 col:68 id:5997],semantic
SyntaxError: unterminated string literal at line 96  [line:323 col:19 id:4902],lexical
AttributeError: module 'sys' has no attribute 'length'  [line:218 col:80 id:5150],lexical
SyntaxError: invalid statement at global scope  [line:195 col:71 id:9325],syntactic
ModuleNotFoundError: No module named 'torch'  [line:73 col:14 id:9790],lexical
SyntaxError: invalid character in f-string  [line:290 col:61 id:2501],syntactic
KeyError: 'config' not found in mapping  [line:466 col:1 id:8643],lexical
SyntaxError: illegal expression for augmented assignment  [line:382 col:79 id:1521],syntactic
TabError: inconsistent use of tabs and spaces in indentation  [line:252 col:16 id:3671],lexical
SyntaxError: invalid character in f-string  [line:223 col:35 id:3572],syntactic
SyntaxError: invalid escape sequence '\y'  [line:421 col:46 id:6408],lexical
ValueError: could not convert string to float: '8443a'  [line:187 col:13 id:3345],semantic
SyntaxError: stray character 'x' in expression  [line:181 col:59 id:7274],lexical
UnicodeEncodeError: 'ascii' codec can't encode character  [line:370 col:7 id:8266],lexical
MemoryError: cannot allocate memory  [line:411 col:41 id:9672],semantic
"ValueError: not enough values to unpack (expected 2, got 3)  [line:223 col:30 id:1002]",semantic
TabError: inconsistent use of tabs and spaces in indentation  [line:286 col:13 id:9205],lexical
SyntaxError: cannot assign to literal  [line:355 col:71 id:2565],syntactic
ModuleNotFoundError: No module named 'matplotlib'  [line:179 col:10 id:8724],lexical
SyntaxError: missing parentheses in call to 'print'  [line:407 col:37 id:7488],syntactic
AttributeError: 'NoneType' object has no attribute 'execute'  [line:415 col:7 id:3580],semantic
SyntaxError: unterminated string literal at line 61  [line:125 col:40 id:6785],lexical
ImportError: cannot import name 'fit' from 'pandas'  [line:92 col:57 id:4508],lexical
SyntaxError: unexpected EOF while parsing  [line:468 col:34 id:3923],syntactic
RuntimeError: failed to acquire lock for thread  [line:69 col:3 id:7420],semantic
SyntaxError: stray character 'z' in expression  [line:344 col:46 id:9645],lexical
AttributeError: module 'numpy' has no attribute 'apply'  [line:195 col:46 id:2818],lexical
OverflowError: numerical result out of range  [line:361 col:79 id:8754],semantic
SyntaxError: invalid syntax near '%'  [line:425 col:4 id:8838],lexical
TypeError: unsupported operand type(s) for +: 'int' and 'str'  [line:367 col:18 id:6715],semantic
ValueError: could not convert string to float: '6466c'  [line:433 col:4 id:3284],semantic
IndentationError: expected an indented block  [line:198 col:27 id:2813],syntactic
TypeError: can't compare 'int' and 'tuple'  [line:142 col:5 id:6894],semantic
SyntaxError: EOL while scanning string literal  [line:273 col:41 id:3653],lexical
SyntaxError: 'break' outside loop  [line:432 col:55 id:6015],syntactic
SyntaxError: missing parentheses in call to 'print'  [line:233 col:67 id:3070],syntactic
SyntaxError: duplicate argument 'temp' in function definition  [line:311 col:79 id:9187],syntactic
SyntaxError: expected ':' after 'if' statement  [line:34 col:57 id:5183],syntactic
SyntaxError: invalid syntax near '**'  [line:153 col:45 id:1587],lexical
SyntaxError: invalid statement at global scope  [line:190 col:17 id:5689],syntactic
TypeError: can't multiply sequence by non-int of type 'dict'  [line:424 col:24 id:8099],semantic
AttributeError: 'dict' object has no attribute 'apply'  [line:2 col:4 id:9747],semantic
IndentationError: unexpected unindent at line 7  [line:107 col:5 id:6198],lexical
SyntaxError: invalid character in f-string  [line:330 col:78 id:8502],syntactic
RecursionError: infinite recursion detected in function 'process'  [line:467 col:35 id:4590],semantic
SyntaxError: invalid target for augmented assignment  [line:320 col:58 id:8202],syntactic
IndexError: list index out of range  [line:59 col:66 id:8252],semantic
ImportError: cannot import name 'write' from 'numpy'  [line:7 col:57 id:7067],lexical
KeyError: 'token'  [line:241 col:5 id:2868],semantic
ImportError: cannot import name 'test' from 'matplotlib'  [line:289 col:37 id:6648],lexical
SyntaxError: cannot assign to literal  [line:126 col:36 id:5503],syntactic
TypeError: 'list' object is not callable  [line:492 col:24 id:3346],lexical
SyntaxError: cannot assign to literal  [line:172 col:13 id:9045],syntactic
TypeError: can't compare 'int' and 'tuple'  [line:497 col:63 id:4416],semantic
FileNotFoundError: [Errno 2] No such file or directory: ''report.xml''  [line:477 col:28 id:4297],semantic
ModuleNotFoundError: No module named 'tensorflow'  [line:469 col:23 id:8362],lexical
AttributeError: 'dict' object has no attribute 'apply'  [line:150 col:46 id:7013],semantic
AttributeError: module 'numpy' has no attribute 'data'  [line:154 col:77 id:1260],lexical
SyntaxError: invalid syntax near '//'  [line:319 col:70 id:7776],lexical
SyntaxError: invalid encoding or BOM in source file  [line:329 col:72 id:4898],lexical
SyntaxError: EOL while scanning string literal  [line:215 col:62 id:7526],lexical
SyntaxError: invalid character in f-string  [line:273 col:13 id:2520],syntactic
SyntaxError: invalid character in f-string  [line:419 col:20 id:4434],syntactic
SyntaxError: invalid encoding or BOM in source file  [line:402 col:1 id:3568],lexical
